Likely personal mobile segments from OFCA numbering plan
total_ranges=294

By first digit:
4xxxxxxx	57
53400000-53499999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
53540000-53589999	Hutchison Telephone Company Limited 和記電話有限公司
53600000-53699999	Hong Kong Telecommunications (HKT) Limited
53700000-53799999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
53800000-53899999	China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
53900000-53999999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
54000000-54099999	Sun Mobile Limited 新移動通訊有限公司
54100000-54199999	Hong Kong Telecommunications (HKT) Limited
54200000-54299999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
54300000-54399999	Hong Kong Telecommunications (HKT) Limited
54400000-54499999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
54600000-54699999	Hutchison Telephone Company Limited 和記電話有限公司
54700000-54799999	Hong Kong Telecommunications (HKT) Limited
54800000-54899999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
54900000-54999999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
55000000-55099999	SmarTone Mobile Communications Limited 數碼通電訊有限公司
55100000-55199999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
55200000-55299999	Hong Kong Telecommunications (HKT) Limited
55300000-55399999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
55400000-55489999	Sun Mobile Limited 新移動通訊有限公司
55490000-55519999	Government use
55600000-55699999	Hutchison Telephone Company Limited 和記電話有限公司
55700000-55799999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
55800000-55899999	Hong Kong Telecommunications (HKT) Limited
55900000-55999999	SmarTone Mobile Communications Limited 數碼通電訊有限公司
56000000-56099999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
56100000-56199999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
56200000-56299999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
56300000-56399999	Hutchison Telephone Company Limited 和記電話有限公司
56400000-56499999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
56600000-56699999	Hutchison Telephone Company Limited 和記電話有限公司
56800000-56899999	Hong Kong Telecommunications (HKT) Limited
56900000-56999999	Hutchison Telephone Company Limited 和記電話有限公司
57000000-57019999	Multibyte Info Technology Limited 博元訊息科技有限公司
57020000-57039999	Sun Mobile Limited 新移動通訊有限公司
57040000-57059999	Multibyte Info Technology Limited 博元訊息科技有限公司
57060000-57069999	Hong Kong Broadband Network Limited 香港寬頻網絡有限公司
57070000-57089999	China Unicom (Hong Kong) Operations Limited 中國聯通(香港)運營有限公司
57090000-57099999	CITIC Telecom International Limited中信國際電訊有限公司
57100000-57179999	Hong Kong Telecommunications (HKT) Limited
57200000-57299999	SmarTone Mobile Communications Limited 數碼通電訊有限公司
57300000-57369999	China Mobile Hong Kong Company Limited 中國移動香港有限公司
57400000-57449999	SmarTone Mobile Communications Limited 數碼通電訊有限公司
57450000-57469999	Multibyte Info Technology Limited 博元訊息科技有限公司
57470000-57489999	Multibyte Info Technology Limited 博元訊息科技有限公司
